x,y
3.834874018,420.2009073
3.899982879,417.9819012
3.966256539,415.8018552
4.033715553,413.6596988
4.102380815,411.554383
4.172273564,409.4848804
4.243415388,407.450184
4.315828229,405.4493066
4.389534391,403.4812806
4.464556537,401.5451569
4.540917704,399.6400044
4.6186413,397.76491
4.697751113,395.9189771
4.778271317,394.1013261
4.860226472,392.3110931
4.943641534,390.5474298
5.028541861,388.809503
5.114953212,387.0964943
5.20290176,385.4075992
5.29241409,383.7420272
5.383517209,382.0990013
5.476238553,380.4777573
5.570605984,378.8775437
5.666647807,377.2976215
5.764392764,375.7372636
5.863870049,374.1957545
5.965109306,372.67239
6.068140641,371.1664772
6.172994621,369.6773337
6.279702285,368.2042879
6.388295147,366.7466782
6.498805202,365.3038532
6.611264931,363.8751711
6.725707308,362.4599998
6.842165803,361.0577166
6.960674392,359.6677077
7.081267558,358.2893685
7.203980299,356.9221031
7.328848133,355.5653241
7.455907104,354.2184528
7.585193789,352.8809184
7.716745299,351.5521587
7.850599289,350.2316193
7.986793963,348.9187536
8.125368079,347.6130229
8.266360953,346.3138962
8.409812465,345.0208501
8.555763312,343.7334162
8.704256507,342.4514642
8.855336531,341.1750065
9.009048649,339.9040551
9.165438924,338.6386218
9.324554227,337.378718
9.486442257,336.1243547
9.651151548,334.8755424
9.818731492,333.6322911
9.989232348,332.3946106
10.16270526,331.1625101
10.33920227,329.9359986
10.51877634,328.7150845
10.70148137,327.4997759
10.88737219,326.2900807
11.07650461,325.086006
11.26893543,323.887559
11.46472243,322.6947461
11.66392443,321.5075738
11.86660126,320.3260477
12.07281383,319.1501736
12.28262411,317.9799566
12.49609516,316.8154016
12.71329116,315.656513
12.93427741,314.5032951
13.15912038,313.3557517
13.38788769,312.2138865
13.62064816,311.0777014
13.85747135,309.9471435
14.09842733,308.8220815
14.34358732,307.7023794
14.59302369,306.5879032
14.84681006,305.4785202
15.10502124,304.3740998
15.36773333,303.2745129
15.63502365,302.1796318
15.90697084,301.0893309
16.18365483,300.0034857
16.4651569,298.9219738
16.75155965,297.8446739
17.04294707,296.7714665
17.33940454,295.7022338
17.64101884,294.6368592
17.94787819,293.5752278
18.26007229,292.5172263
18.57769228,291.4627426
18.90083084,290.4116664
19.22958215,289.3638886
19.56404195,288.3193018
19.90430757,287.2777999
20.2504779,286.2392782
20.60265349,285.2036336
20.96093653,284.1707642
21.32543086,283.1405697
21.69624205,282.112951
22.07347737,281.0878106
22.45724587,280.0650522
22.84765834,279.044581
23.2448274,278.0263035
23.6488675,277.0101275
24.05989495,275.9959622
24.47802795,274.9837183
24.9033866,273.9733075
25.33609298,272.9646431
25.77627111,271.9576397
26.22404703,270.952213
26.67954883,269.9482802
27.14290664,268.9457598
27.6142527,267.9445715
28.09372139,266.9446365
28.58144921,265.945877
29.07757491,264.9482167
29.58223941,263.9515805
30.09558592,262.9558945
30.61775994,261.9610863
31.14890928,260.9670846
31.68918411,259.9738194
32.23873701,258.9812219
32.79772298,257.9892247
